iters,mean reward,std reward,pct full rollouts
0,-47.47550422391546,7.897047291464154,1.0
1,-9.55280913385224,6.136733223926279,1.0
2,-11.659415987570672,7.4364906694115644,1.0
3,-10.448415887268066,3.386900981954798,1.0
4,-9.88261514176164,3.921634274747013,1.0
5,-9.16271988804589,3.566531359351985,1.0
6,-7.474692325781992,4.170231740295669,1.0
7,-6.306867474149632,2.304609804643168,1.0
8,-6.080141388341335,2.0758943599309814,1.0
9,-4.700554806261592,1.836177222723279,1.0
10,-4.483918324388247,1.1835713946322595,1.0
11,-4.551373054922879,2.0114194678005575,1.0
12,-4.014615279729851,1.961186491409455,1.0
13,-4.809942554763617,1.798130300750043,1.0
14,-4.313517151860615,1.6793351996423056,1.0
15,-3.8015887155783323,1.485235704906869,1.0
16,-3.64510011919595,1.6698902034445786,1.0
17,-4.323458069868296,2.0774394667502785,1.0
18,-3.845311959287445,1.3634928429081843,1.0
19,-4.15979417773854,1.7180679196323683,1.0
