#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1,62.18066878,406.6027497,4805.149805,150.1021267
5,5,4010.627725,512.3938829,4761.324106,116.626866
10,10,4641.134786,129.6945149,4661.827641,658.3956304
15,15,4644.387661,133.9507661,4850.270019,104.6435041
20,20,4537.310754,687.6623871,4825.976865,79.02416296
25,25,4759.857107,110.4789648,4796.97274,353.9148623
30,30,4428.919855,1107.769231,4822.092119,99.89382851
35,35,4793.136946,104.329404,4844.056988,97.95168886
40,40,4790.018419,109.8746566,4825.192852,90.80357771
50,50,4633.670289,574.2661973,4988.99,89.7789
