#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1.0,518.329242086563,517.730762499633,4148.027648336702,67.07304829407919
5,5.0,586.7292641935219,601.2626258841639,4157.1208367243435,82.75326277963187
10,10.0,3709.965201796103,155.11601421121375,4169.838023980954,100.8407016971624
15,15.0,3979.9382282418983,98.82504898593862,4115.255915535771,92.64617143218952
20,20.0,4036.2735434974434,90.39809188869137,4115.2208235128,52.89264759554499
25,25.0,4137.592819375706,80.86606369436271,4138.6012438658945,56.586046376042994
30,30.0,4173.24952785396,95.72453118597605,4161.015503624534,78.8580245971265
35,35.0,4148.0063898742355,81.42408134770906,4135.811192429478,71.86457309093427
40,40.0,4101.373960523067,88.87650531327783,4129.678585854322,82.60972228391095
50,50.0,4108.656836281043,97.74319478312773,4139.316459168991,74.62534567668088
