#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1.0,246.4465024269672,28.263567536826287,3777.906032151765,3.3373632994104345
5,5.0,254.3456653866413,6.8675722254676606,3780.1153393256423,3.5534413973544505
10,10.0,268.59605452287985,2.1781091581810834,3778.8561978363696,3.50297895196009
15,15.0,569.6477096183104,83.64000173696569,3777.0230912388533,3.4821197163713475
20,20.0,1354.8449919280285,330.21818238522764,3778.936125768304,4.575721228970592
25,25.0,3717.099393409692,110.43780647078331,3777.6519710140296,2.3296685234801444
30,30.0,477.3519676457996,35.36408405252153,3777.114718595471,3.0448554563890053
35,35.0,3410.279012007365,353.30264002334525,3778.7368580111456,3.3009650749243584
40,40.0,2085.603107931824,1205.2100120064224,3778.846828594016,4.28060654438321
50,50.0,2673.853372902885,1345.6123157666184,3778.6808266727758,3.2865566421265733
