#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1.0,279.24175915923826,17.53771523212806,10367.288387720997,197.82545033686836
5,5.0,786.6098072870807,352.7965584552126,10395.150171857316,59.536701264354136
10,10.0,1747.5556543300668,1496.1282768149008,10394.624569185606,47.554862357398946
15,15.0,5249.397525439586,3980.708067968329,10413.475832838738,50.25200829314817
20,20.0,7467.327427823075,3349.875274058283,10396.2304517701,56.73734419282106
25,25.0,6504.596846782749,4242.225455330799,10407.733946540266,44.18404096908185
30,30.0,9457.519916996554,2840.1059692364283,10401.291848671479,45.160854189741706
35,35.0,7940.220909526423,3560.521251068141,10415.239201315766,40.16491502777654
40,40.0,8483.854337270697,3724.102323188565,10417.51761485766,45.97652762703724
50,50.0,9096.28160415487,3181.158366493145,10394.947779325072,44.79763045790597
