#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1.0,461.33585717834745,25.878196379331133,5528.130425223064,47.67880010485532
5,5.0,3.445807925603068,0.6355821953481295,5516.774541824959,82.0549175723154
10,10.0,1645.0831152544422,352.10312584038917,5542.807474243847,49.02888808880996
15,15.0,4195.363704168928,1159.188372157356,5504.973624724106,71.96289183149837
20,20.0,4857.696303788378,1507.6773660375604,5525.210284195517,60.91262831198678
25,25.0,5456.102117097819,124.84495558508844,5530.55817124086,82.28895000486564
30,30.0,5243.717706615879,855.6788985172992,5527.907463878989,60.94334323401415
35,35.0,5528.869188695363,38.365198915614585,5309.91435246,694.663951950439
40,40.0,5439.054234372334,252.52254078005382,5525.737664296886,34.11026961226926
50,50.0,5489.259667690005,72.19610480665176,5533.935569520349,54.2027831156353
